               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087481,            0.028315,            0.045575,            0.037553,             0.41408,            0.036848,           0.0078754,            0.044908,            0.025034,            0.031947,             0.00098,             0.00098,             0.09118
                   1,            0.058585,            0.024295,            0.039613,             0.46711,             0.53042,             0.25211,            0.058302,             0.04384,            0.015214,            0.031193,             0.00197,             0.00197,             0.08227
                   2,            0.055217,            0.018574,             0.03859,             0.63719,             0.56025,             0.43586,             0.18377,            0.034313,            0.012064,            0.027991,           0.0029599,           0.0029599,             0.07336
                   3,            0.049946,            0.015622,            0.034499,             0.53979,             0.63251,              0.4307,             0.15377,            0.037611,            0.010782,            0.023656,           0.0039498,           0.0039498,             0.06445
                   4,            0.047094,            0.014361,            0.030544,             0.72561,             0.69528,             0.64816,             0.30133,            0.027844,           0.0095835,              0.0207,           0.0049395,           0.0049395,             0.05554
                   5,            0.049676,            0.014003,            0.027247,             0.60907,             0.72644,             0.58758,              0.1728,            0.035376,           0.0092214,            0.014252,           0.0059291,           0.0059291,            0.046629
                   6,            0.047052,            0.013004,            0.020581,             0.85707,             0.67046,             0.69874,             0.32163,            0.029297,           0.0091881,            0.011134,           0.0069185,           0.0069185,            0.037718
                   7,            0.044226,            0.012738,            0.020626,             0.91627,             0.66704,             0.77017,             0.41704,            0.027745,           0.0095582,            0.010456,           0.0079076,           0.0079076,            0.028808
                   8,             0.04403,            0.012571,            0.017881,             0.65039,             0.82898,             0.81706,             0.37357,            0.029524,           0.0085119,           0.0091903,           0.0088965,           0.0088965,            0.019896
                   9,            0.043249,            0.012327,            0.016333,             0.77055,             0.91908,             0.87138,             0.46371,            0.028057,           0.0082941,            0.007094,           0.0098851,           0.0098851,            0.010985
                  10,            0.039712,            0.011889,            0.015201,             0.81943,              0.8338,             0.88978,             0.48528,            0.024966,           0.0085251,           0.0074987,           0.0099938,           0.0099938,           0.0099938
                  11,            0.037372,            0.011645,            0.014754,              0.8563,             0.86252,             0.90252,              0.5061,            0.024207,           0.0079663,           0.0069871,           0.0099938,           0.0099938,           0.0099938
                  12,            0.037536,            0.011379,            0.014253,             0.86175,             0.91947,             0.91504,             0.56764,            0.021455,           0.0078023,           0.0059075,           0.0099925,           0.0099925,           0.0099925
